pmid,issn,name,year,doi,pmcid,title
10359080,0014-5793,FEBS Lett.,1999,,,A novel plant nuclear gene encoding chloroplast ribosomal protein S9 has a transit peptide related to that of rice chloroplast ribosomal protein L12.
12006626,0021-9533,J. Cell. Sci.,2002,,,The plant Spc98p homologue colocalizes with gamma-tubulin at microtubule nucleation sites and is required for microtubule nucleation.
16230331,0032-0781,Plant Cell Physiol.,2005,10.1093/pcp/pci215,,OsGAP1 functions as a positive regulator of OsRab11-mediated TGN to PM or vacuole trafficking.
16249326,0032-0781,Plant Cell Physiol.,2006,10.1093/pcp/pci220,,"Molecular cloning, functional expression and subcellular localization of two putative vacuolar voltage-gated chloride channels in rice (Oryza sativa L.)."
16581873,0032-0889,Plant Physiol.,2006,10.1104/pp.106.079533,PMC1459324,Identification of a vacuolar sucrose transporter in barley and Arabidopsis mesophyll cells by a tonoplast proteomic approach.
19142958,1615-9861,Proteomics,2009,10.1002/pmic.200800323,,In vivo phosphorylation sites of barley tonoplast proteins identified by a phosphoproteomic approach.
16649109,0167-4412,Plant Mol. Biol.,2006,10.1007/s11103-005-5548-x,,The highly charged region of plant beta-type phosphatidylinositol 4-kinase is involved in membrane targeting and phospholipid binding.
16667159,0032-0889,Plant Physiol.,1989,,PMC1062098,Effects of cold-treatment on protein synthesis and mRNA levels in rice leaves.
16699542,1001-0602,Cell Res.,2006,10.1038/sj.cr.7310058,,MORN motifs in plant PIPKs are involved in the regulation of subcellular localization and phospholipid binding.
16709195,0960-7412,Plant J.,2006,10.1111/j.1365-313X.2006.02739.x,,A B-lectin receptor kinase gene conferring rice blast resistance.
18453549,1537-1719,Mol. Biol. Evol.,2008,10.1093/molbev/msn102,,Substitution of the gene for chloroplast RPS16 was assisted by generation of a dual targeting signal.
16730655,0006-291X,Biochem. Biophys. Res. Commun.,2006,10.1016/j.bbrc.2006.04.134,,Characterization of four RecQ homologues from rice (Oryza sativa L. cv. Nipponbare).
16766513,1340-2838,DNA Res.,2006,10.1093/dnares/dsl001,,The rice 14-3-3 gene family and its involvement in responses to biotic and abiotic stress.
19934175,1756-1663,DNA Res.,2010,10.1093/dnares/dsp024,PMC2818186,Discovery of the rpl10 gene in diverse plant mitochondrial genomes and its probable replacement by the nuclear gene for chloroplast RPL10 in two lineages of angiosperms.
20829360,1083-351X,J. Biol. Chem.,2010,10.1074/jbc.M110.121202,PMC2975236,Conserved and novel functions for Arabidopsis thaliana MIA40 in assembly of proteins in mitochondria and peroxisomes.
20840506,1469-8137,New Phytol.,2011,10.1111/j.1469-8137.2010.03459.x,,"OsHMA3, a P1B-type of ATPase affects root-to-shoot cadmium translocation in rice by mediating efflux into vacuoles."
20876334,1460-2431,J. Exp. Bot.,2011,10.1093/jxb/erq290,,"A novel chloroplast protein, CEST induces tolerance to multiple environmental stresses and reduces photooxidative damage in transgenic Arabidopsis."
20944397,1347-6947,Biosci. Biotechnol. Biochem.,2010,10.1271/bbb.100487,,Characterization of a plant-specific gene induced by endoplasmic reticulum stress in Arabidopsis thaliana.
21045556,1559-2324,Plant Signal Behav,2010,,PMC3115230,Subcellular localization of proteins of Oryza sativa L. in the model tobacco and tomato plants.
21330298,1471-9053,Plant Cell Physiol.,2011,10.1093/pcp/pcr019,,"Dual targeting to mitochondria and plastids of AtBT1 and ZmBT1, two members of the mitochondrial carrier family."
19436049,1460-2431,J. Exp. Bot.,2009,10.1093/jxb/erp126,,Subcellular localization and biochemical comparison of cytosolic and secreted cytokinin dehydrogenase enzymes from maize.
22426856,1438-7948,Funct. Integr. Genomics,2012,10.1007/s10142-012-0273-4,,Identification of mitochondrial thiamin diphosphate carriers from Arabidopsis and maize.
23451851,1365-313X,Plant J.,2013,10.1111/tpj.12161,,Embryo defective12 encodes the plastid initiation factor 3 and is essential for embryogenesis in maize.
22486829,1600-0854,Traffic,2012,10.1111/j.1600-0854.2012.01360.x,,"Vacuolar degradation of two integral plasma membrane proteins, AtLRR84A and OsSCAMP1, is cargo ubiquitination-independent and prevacuolar compartment-mediated in plant cells."
23257241,1532-2548,Plant Physiol.,2013,10.1104/pp.112.210997,PMC3561010,"Acquisition, conservation, and loss of dual-targeted proteins in land plants."
23841539,1471-2229,BMC Plant Biol.,2013,10.1186/1471-2229-13-100,PMC3716789,The dual targeting ability of type II NAD(P)H dehydrogenases arose early in land plant evolution.
24704865,1559-2324,Plant Signal Behav,2014,,PMC4091187,Rice nicotianamine synthase localizes to particular vesicles for proper function.
24600457,1664-462X,Front Plant Sci,2014,10.3389/fpls.2014.00037,PMC3928556,Plasma membrane-association of SAUL1-type plant U-box armadillo repeat proteins is conserved in land plants.
24654769,1365-313X,Plant J.,2014,10.1111/tpj.12511,,"OsNIP3;1, a rice boric acid channel, regulates boron distribution and is essential for growth under boron-deficient conditions."
24406791,1532-2548,Plant Physiol.,2014,10.1104/pp.113.233221,PMC3938616,The evolutionary conserved oil body associated protein OBAP1 participates in the regulation of oil body size.
17636130,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,2007,10.1073/pnas.0701180104,PMC1941474,FRET imaging in living maize cells reveals that plasma membrane aquaporins interact to regulate their subcellular localization.
24805883,1573-5028,Plant Mol. Biol.,2014,10.1007/s11103-014-0196-7,,Divergence of the expression and subcellular localization of CCR4-associated factor 1 (CAF1) deadenylase proteins in Oryza sativa.
24926784,1559-2324,Plant Signal Behav,2014,,,Rice acyl-CoA-binding proteins OsACBP4 and OsACBP5 are differentially localized in the endoplasmic reticulum of transgenic Arabidopsis.
23590975,1532-2548,Plant Physiol.,2013,10.1104/pp.113.218081,PMC3668054,Identification of mitochondrial coenzyme a transporters from maize and Arabidopsis.
14657403,0032-0889,Plant Physiol.,2004,10.1104/pp.103.027466,PMC316304,An invertase inhibitor from maize localizes to the embryo surrounding region during early kernel development.
