pmid,issn,name,year,doi,pmcid,title
10359080,0014-5793,FEBS Lett.,1999,,,A novel plant nuclear gene encoding chloroplast ribosomal protein S9 has a transit peptide related to that of rice chloroplast ribosomal protein L12.
12006626,0021-9533,J. Cell. Sci.,2002,,,The plant Spc98p homologue colocalizes with gamma-tubulin at microtubule nucleation sites and is required for microtubule nucleation.
16230331,0032-0781,Plant Cell Physiol.,2005,10.1093/pcp/pci215,,OsGAP1 functions as a positive regulator of OsRab11-mediated TGN to PM or vacuole trafficking.
16249326,0032-0781,Plant Cell Physiol.,2006,10.1093/pcp/pci220,,"Molecular cloning, functional expression and subcellular localization of two putative vacuolar voltage-gated chloride channels in rice (Oryza sativa L.)."
16581873,0032-0889,Plant Physiol.,2006,10.1104/pp.106.079533,PMC1459324,Identification of a vacuolar sucrose transporter in barley and Arabidopsis mesophyll cells by a tonoplast proteomic approach.
19142958,1615-9861,Proteomics,2009,10.1002/pmic.200800323,,In vivo phosphorylation sites of barley tonoplast proteins identified by a phosphoproteomic approach.
16649109,0167-4412,Plant Mol. Biol.,2006,10.1007/s11103-005-5548-x,,The highly charged region of plant beta-type phosphatidylinositol 4-kinase is involved in membrane targeting and phospholipid binding.
16667159,0032-0889,Plant Physiol.,1989,,PMC1062098,Effects of cold-treatment on protein synthesis and mRNA levels in rice leaves.
16699542,1001-0602,Cell Res.,2006,10.1038/sj.cr.7310058,,MORN motifs in plant PIPKs are involved in the regulation of subcellular localization and phospholipid binding.
16709195,0960-7412,Plant J.,2006,10.1111/j.1365-313X.2006.02739.x,,A B-lectin receptor kinase gene conferring rice blast resistance.
18453549,1537-1719,Mol. Biol. Evol.,2008,10.1093/molbev/msn102,,Substitution of the gene for chloroplast RPS16 was assisted by generation of a dual targeting signal.
16730655,0006-291X,Biochem. Biophys. Res. Commun.,2006,10.1016/j.bbrc.2006.04.134,,Characterization of four RecQ homologues from rice (Oryza sativa L. cv. Nipponbare).
16766513,1340-2838,DNA Res.,2006,10.1093/dnares/dsl001,,The rice 14-3-3 gene family and its involvement in responses to biotic and abiotic stress.
19934175,1756-1663,DNA Res.,2010,10.1093/dnares/dsp024,PMC2818186,Discovery of the rpl10 gene in diverse plant mitochondrial genomes and its probable replacement by the nuclear gene for chloroplast RPL10 in two lineages of angiosperms.
20829360,1083-351X,J. Biol. Chem.,2010,10.1074/jbc.M110.121202,PMC2975236,Conserved and novel functions for Arabidopsis thaliana MIA40 in assembly of proteins in mitochondria and peroxisomes.
20840506,1469-8137,New Phytol.,2011,10.1111/j.1469-8137.2010.03459.x,,"OsHMA3, a P1B-type of ATPase affects root-to-shoot cadmium translocation in rice by mediating efflux into vacuoles."
20876334,1460-2431,J. Exp. Bot.,2011,10.1093/jxb/erq290,,"A novel chloroplast protein, CEST induces tolerance to multiple environmental stresses and reduces photooxidative damage in transgenic Arabidopsis."
20944397,1347-6947,Biosci. Biotechnol. Biochem.,2010,10.1271/bbb.100487,,Characterization of a plant-specific gene induced by endoplasmic reticulum stress in Arabidopsis thaliana.
21045556,1559-2324,Plant Signal Behav,2010,,PMC3115230,Subcellular localization of proteins of Oryza sativa L. in the model tobacco and tomato plants.
21330298,1471-9053,Plant Cell Physiol.,2011,10.1093/pcp/pcr019,,"Dual targeting to mitochondria and plastids of AtBT1 and ZmBT1, two members of the mitochondrial carrier family."
19436049,1460-2431,J. Exp. Bot.,2009,10.1093/jxb/erp126,,Subcellular localization and biochemical comparison of cytosolic and secreted cytokinin dehydrogenase enzymes from maize.
22426856,1438-7948,Funct. Integr. Genomics,2012,10.1007/s10142-012-0273-4,,Identification of mitochondrial thiamin diphosphate carriers from Arabidopsis and maize.
23451851,1365-313X,Plant J.,2013,10.1111/tpj.12161,,Embryo defective12 encodes the plastid initiation factor 3 and is essential for embryogenesis in maize.
22486829,1600-0854,Traffic,2012,10.1111/j.1600-0854.2012.01360.x,,"Vacuolar degradation of two integral plasma membrane proteins, AtLRR84A and OsSCAMP1, is cargo ubiquitination-independent and prevacuolar compartment-mediated in plant cells."
23257241,1532-2548,Plant Physiol.,2013,10.1104/pp.112.210997,PMC3561010,"Acquisition, conservation, and loss of dual-targeted proteins in land plants."
23841539,1471-2229,BMC Plant Biol.,2013,10.1186/1471-2229-13-100,PMC3716789,The dual targeting ability of type II NAD(P)H dehydrogenases arose early in land plant evolution.
24704865,1559-2324,Plant Signal Behav,2014,,PMC4091187,Rice nicotianamine synthase localizes to particular vesicles for proper function.
24600457,1664-462X,Front Plant Sci,2014,10.3389/fpls.2014.00037,PMC3928556,Plasma membrane-association of SAUL1-type plant U-box armadillo repeat proteins is conserved in land plants.
24654769,1365-313X,Plant J.,2014,10.1111/tpj.12511,,"OsNIP3;1, a rice boric acid channel, regulates boron distribution and is essential for growth under boron-deficient conditions."
24406791,1532-2548,Plant Physiol.,2014,10.1104/pp.113.233221,PMC3938616,The evolutionary conserved oil body associated protein OBAP1 participates in the regulation of oil body size.
17636130,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,2007,10.1073/pnas.0701180104,PMC1941474,FRET imaging in living maize cells reveals that plasma membrane aquaporins interact to regulate their subcellular localization.
24805883,1573-5028,Plant Mol. Biol.,2014,10.1007/s11103-014-0196-7,,Divergence of the expression and subcellular localization of CCR4-associated factor 1 (CAF1) deadenylase proteins in Oryza sativa.
24926784,1559-2324,Plant Signal Behav,2014,,,Rice acyl-CoA-binding proteins OsACBP4 and OsACBP5 are differentially localized in the endoplasmic reticulum of transgenic Arabidopsis.
23590975,1532-2548,Plant Physiol.,2013,10.1104/pp.113.218081,PMC3668054,Identification of mitochondrial coenzyme a transporters from maize and Arabidopsis.
14657403,0032-0889,Plant Physiol.,2004,10.1104/pp.103.027466,PMC316304,An invertase inhibitor from maize localizes to the embryo surrounding region during early kernel development.
28183294,1471-2229,BMC Plant Biol.,2017,10.1186/s12870-017-0971-0,PMC5301458,Chloroplast proteome response to drought stress and recovery in tomato (Solanum lycopersicum L.).
10937693,0022-0957,J. Exp. Bot.,2000,,,Induced activity of adenine phosphoribosyltransferase (APRT) in iron-deficiency barley roots: a possible role for phytosiderophore production.
11389760,0960-7412,Plant J.,2001,,,"Synthesis, processing and export of cytoplasmic endo-beta-1,4-xylanase from barley aleurone during germination."
11886893,0022-0957,J. Exp. Bot.,2002,,,"IDI7, a new iron-regulated ABC transporter from barley roots, localizes to the tonoplast."
12011350,0032-0889,Plant Physiol.,2002,10.1104/pp.010918,PMC155883,Gibberellin signaling in barley aleurone cells. Control of SLN1 and GAMYB expression.
12581306,0960-7412,Plant J.,2003,,,A role for HvGAMYB in anther development.
12953112,1040-4651,Plant Cell,2003,,PMC181332,"A novel WRKY transcription factor, SUSIBA2, participates in sugar signaling in barley by binding to the sugar-responsive elements of the iso1 promoter."
14617061,0960-7412,Plant J.,2003,,,Functional analysis of barley RAC/ROP G-protein family members in susceptibility to the powdery mildew fungus.
15141952,0894-0282,Mol. Plant Microbe Interact.,2004,10.1094/MPMI.2004.17.5.484,,The barley apoptosis suppressor homologue BAX inhibitor-1 compromises nonhost penetration resistance of barley to the inappropriate pathogen Blumeria graminis f. sp. tritici.
15153196,1399-3054,Physiol Plant,2004,10.1111/j.0031-9317.2004.00325.x,,Isolation of a novel barley cDNA encoding a nuclear protein involved in stress response and leaf senescence.
15347799,0032-0889,Plant Physiol.,2004,10.1104/pp.104.041665,PMC523338,Two transcription factors are negative regulators of gibberellin response in the HvSPY-signaling pathway in barley aleurone.
15604689,0167-4412,Plant Mol. Biol.,2004,10.1007/s11103-004-0906-7,,Hv-WRKY38: a new transcription factor involved in cold- and drought-response in barley.
15821866,0167-4412,Plant Mol. Biol.,2005,10.1007/s11103-004-6520-x,,Transcriptional regulation by abscisic acid in barley (Hordeum vulgare L.) seeds involves autoregulation of the transcription factor HvABI5.
15821867,0167-4412,Plant Mol. Biol.,2005,10.1007/s11103-004-6769-0,,The complex developmental expression of a novel stress-responsive barley Ltp gene is determined by a shortened promoter sequence.
15918880,0960-7412,Plant J.,2005,10.1111/j.1365-313X.2005.02402.x,,"The DOF protein, SAD, interacts with GAMYB in plant nuclei and activates transcription of endosperm-specific genes during barley seed development."
16608452,0028-646X,New Phytol.,2006,10.1111/j.1469-8137.2006.01663.x,,Heavy metal stress and leaf senescence induce the barley gene HvC2d1 encoding a calcium-dependent novel C2 domain-like protein.
16937017,0032-0935,Planta,2007,10.1007/s00425-006-0373-2,,The barley ERF-type transcription factor HvRAF confers enhanced pathogen resistance and salt tolerance in Arabidopsis.
17634181,0032-0781,Plant Cell Physiol.,2007,10.1093/pcp/pcm091,,An aluminum-activated citrate transporter in barley.
18466344,1462-5822,Cell. Microbiol.,2008,10.1111/j.1462-5822.2008.01167.x,,Barley RIC171 interacts with RACB in planta and supports entry of the powdery mildew fungus.
18583533,0032-0889,Plant Physiol.,2008,10.1104/pp.108.120238,PMC2492636,"An abscisic acid-induced protein, HVA22, inhibits gibberellin-mediated programmed cell death in cereal aleurone cells."
18721317,1435-8603,Plant Biol (Stuttg),2008,10.1111/j.1438-8677.2008.00092.x,,Identification and characterization of novel senescence-associated genes from barley (Hordeum vulgare) primary leaves.
18956174,0040-5752,Theor. Appl. Genet.,2009,10.1007/s00122-008-0912-2,,Over-expression of the cell death regulator BAX inhibitor-1 in barley confers reduced or enhanced susceptibility to distinct fungal pathogens.
19759340,1532-2548,Plant Physiol.,2009,10.1104/pp.109.146019,PMC2773090,"Characterization of the entire cystatin gene family in barley and their target cathepsin L-like cysteine-proteases, partners in the hordein mobilization during seed germination."
20176888,1460-2431,J. Exp. Bot.,2010,10.1093/jxb/erq023,PMC2837267,HvALMT1 from barley is involved in the transport of organic anions.
20376676,1432-2048,Planta,2010,10.1007/s00425-010-1155-4,,Characterization of a novel glycinebetaine/proline transporter gene expressed in the mestome sheath and lateral root cap cells in barley.
20473685,1432-2048,Planta,2010,10.1007/s00425-010-1183-0,,Whirly1 in chloroplasts associates with intron containing RNAs and rarely co-localizes with nucleoids.
20507468,1364-3703,Mol. Plant Pathol.,2006,10.1111/j.1364-3703.2006.00359.x,,Transient over-expression of barley BAX Inhibitor-1 weakens oxidative defence and MLA12-mediated resistance to Blumeria graminis f.sp. hordei.
21156329,1618-1328,J. Plant Physiol.,2011,10.1016/j.jplph.2010.11.003,,A soluble acid invertase is directed to the vacuole by a signal anchor mechanism.
21685259,1532-298X,Plant Cell,2011,10.1105/tpc.110.082131,PMC3160019,A barley ROP GTPase ACTIVATING PROTEIN associates with microtubules and regulates entry of the barley powdery mildew fungus into leaf epidermal cells.
22242122,1932-6203,PLoS ONE,2011,10.1371/journal.pone.0029456,PMC3248443,The promoter of the cereal VERNALIZATION1 gene is sufficient for transcriptional induction by prolonged cold.
22415513,1532-2548,Plant Physiol.,2012,10.1104/pp.111.191940,PMC3375967,Barley ROP binding kinase1 is involved in microtubule organization and in basal penetration resistance to the barley powdery mildew fungus.
22773748,1532-298X,Plant Cell,2012,10.1105/tpc.112.097741,PMC3426119,Convergent starvation signals and hormone crosstalk in regulating nutrient mobilization upon germination in cereals.
22958600,1746-4811,Plant Methods,2012,10.1186/1746-4811-8-36,PMC3479045,Barley callus: a model system for bioengineering of starch in cereals.
23720664,1664-462X,Front Plant Sci,2013,10.3389/fpls.2013.00127,PMC3655284,A component of the Sec61 ER protein transporting pore is required for plant susceptibility to powdery mildew.
24033183,1469-8137,New Phytol.,2014,10.1111/nph.12468,,HvZIP7 mediates zinc accumulation in barley (Hordeum vulgare) at moderately high zinc supply.
