"id","species","source"
10359080,"osativa","gfp"
12006626,"osativa","gfp"
16230331,"osativa","gfp"
16249326,"osativa","gfp"
16581873,"hvulgare","msms"
19142958,"hvulgare","msms"
16649109,"osativa","gfp"
16667159,"osativa","gfp"
16699542,"osativa","gfp"
16709195,"osativa","gfp"
18453549,"osativa","gfp"
16730655,"osativa","gfp"
16766513,"osativa","gfp"
19934175,"osativa","gfp"
20829360,"osativa","gfp"
20840506,"osativa","gfp"
20876334,"osativa","gfp"
20944397,"osativa","gfp"
21045556,"osativa","gfp"
21330298,"zmays","gfp"
19436049,"zmays","gfp"
22426856,"zmays","gfp"
23451851,"zmays","gfp"
22486829,"osativa","gfp"
23257241,"osativa","gfp"
23841539,"osativa","gfp"
24704865,"osativa","gfp"
24600457,"osativa","gfp"
24654769,"osativa","gfp"
24406791,"zmays","gfp"
17636130,"zmays","gfp"
24805883,"osativa","gfp"
24926784,"osativa","gfp"
23590975,"zmays","gfp"
14657403,"zmays","gfp"
28183294,"stuberosum","msms"
10937693,"hvulgare","gfp"
11389760,"hvulgare","gfp"
11886893,"hvulgare","gfp"
12011350,"hvulgare","gfp"
12581306,"hvulgare","gfp"
12953112,"hvulgare","gfp"
14617061,"hvulgare","gfp"
15141952,"hvulgare","gfp"
15153196,"hvulgare","gfp"
15347799,"hvulgare","gfp"
15604689,"hvulgare","gfp"
15821866,"hvulgare","gfp"
15821867,"hvulgare","gfp"
15918880,"hvulgare","gfp"
16608452,"hvulgare","gfp"
16937017,"hvulgare","gfp"
17634181,"hvulgare","gfp"
18466344,"hvulgare","gfp"
18583533,"hvulgare","gfp"
18721317,"hvulgare","gfp"
18956174,"hvulgare","gfp"
19759340,"hvulgare","gfp"
20176888,"hvulgare","gfp"
20376676,"hvulgare","gfp"
20473685,"hvulgare","gfp"
20507468,"hvulgare","gfp"
21156329,"hvulgare","gfp"
21685259,"hvulgare","gfp"
22242122,"hvulgare","gfp"
22415513,"hvulgare","gfp"
22773748,"hvulgare,osativa","gfp"
22958600,"hvulgare","gfp"
23720664,"hvulgare","gfp"
24033183,"hvulgare","gfp"
9465122,"hvulgare","gfp"
15682463,"hvulgare","msms"
16758444,"hvulgare","msms"
17081062,"hvulgare","msms"
17675669,"hvulgare","msms"
19137553,"hvulgare","msms"
19639596,"hvulgare","msms"
21440687,"hvulgare","msms"
24344171,"hvulgare","msms"
12481076,"hvulgare","msms"
19391183,"hvulgare","msms"
10664124,"osativa","gfp"
10713441,"osativa","gfp"
10805458,"osativa","gfp"
10831839,"osativa","gfp"
10998053,"osativa","gfp"
11166431,"osativa","gfp"
11337074,"osativa","gfp"
11826299,"osativa","gfp"
11855722,"osativa","gfp"
12000455,"osativa","gfp"
12040100,"osativa","gfp"
12369618,"osativa","gfp"
12376644,"osativa","gfp"
12468735,"osativa","gfp"
12569397,"osativa","gfp"
12591613,"osativa","gfp"
12753582,"osativa","gfp"
12913143,"osativa","gfp"
12913152,"osativa","gfp"
14535884,"osativa","gfp"
14630954,"osativa","gfp"
14657402,"osativa","gfp"
14701929,"osativa","gfp"
14756772,"osativa","gfp"
14988485,"osativa","gfp"
15047897,"osativa","gfp"
15215503,"osativa","gfp"
15255870,"osativa","gfp"
15509842,"osativa","gfp"
15604716,"osativa","gfp"
15604733,"osativa","gfp"
15659629,"osativa","gfp"
15737637,"osativa","gfp"
15792960,"osativa","gfp"
15807780,"osativa","gfp"
15821023,"osativa","gfp"
15915636,"osativa","gfp"
15939553,"osativa","gfp"
15980189,"osativa","gfp"
15980199,"osativa","gfp"
16021404,"osativa","gfp"
16115061,"osativa","gfp"
16117849,"osativa","gfp"
16141453,"osativa","gfp"
16192280,"osativa","gfp"
16193045,"osativa","gfp"
16263903,"osativa","gfp"
16275657,"osativa","gfp"
16313672,"osativa","gfp"
16397796,"osativa","gfp"
16412081,"osativa","gfp"
16489123,"osativa","gfp"
16501255,"osativa","gfp"
16531052,"osativa","gfp"
16531481,"osativa","gfp"
16552590,"osativa","gfp"
16905871,"osativa","gfp"
16919842,"osativa","gfp"
16971692,"osativa","gfp"
16977424,"osativa","gfp"
16990291,"osativa","gfp"
17028208,"osativa","gfp"
17048141,"osativa","gfp"
17086397,"osativa","gfp"
17144896,"osativa","gfp"
17148693,"osativa","gfp"
17174956,"osativa","gfp"
17205969,"osativa","gfp"
17209124,"osativa","gfp"
17309686,"osativa","gfp"
17383966,"osativa","gfp"
17404758,"osativa","gfp"
17406793,"osativa","gfp"
17458549,"osativa","gfp"
17532485,"osativa","gfp"
17586462,"osativa","gfp"
17587305,"osativa","gfp"
17594063,"osativa","gfp"
17617177,"osativa","gfp"
17676337,"osativa","gfp"
17698277,"osativa","gfp"
17710559,"osativa,zmays","gfp"
17727616,"osativa","gfp"
17938177,"osativa","gfp"
17938955,"osativa","gfp"
17960484,"osativa","gfp"
18049796,"osativa","gfp"
18205020,"osativa","gfp"
18219493,"osativa","gfp"
18257679,"osativa","gfp"
18273684,"osativa","gfp"
18282189,"osativa","gfp"
18308761,"osativa","gfp"
18395997,"osativa","gfp"
18442365,"osativa","gfp"
18503045,"osativa","gfp"
18506478,"osativa","gfp"
18508957,"osativa","gfp"
18515498,"osativa","gfp"
18547394,"osativa","gfp"
18594992,"osativa","gfp"
18718933,"osativa","gfp"
18723667,"osativa","gfp"
18725639,"osativa","gfp"
18931143,"osativa","gfp"
18939965,"osativa","gfp"
19010999,"osativa","gfp"
19014580,"osativa","gfp"
19017626,"osativa","gfp"
19039666,"osativa","gfp"
19049971,"osativa","gfp"
19089317,"osativa","gfp"
19129168,"osativa","gfp"
19135985,"osativa","gfp"
19136647,"osativa","gfp"
19154200,"osativa","gfp"
19181864,"osativa","gfp"
19198875,"osativa","gfp"
19214577,"osativa","gfp"
19225807,"osativa","gfp"
19244140,"osativa","gfp"
19376836,"osativa","gfp"
19396402,"osativa","gfp"
19415325,"osativa","gfp"
19453459,"osativa","gfp"
19458265,"osativa","gfp"
19468840,"osativa","gfp"
19505461,"osativa","gfp"
19618278,"osativa","gfp"
19622530,"osativa","gfp"
19682292,"osativa","gfp"
19688213,"osativa","gfp"
19765235,"osativa","gfp"
19767453,"osativa","gfp"
19807881,"osativa","gfp"
19825016,"osativa","gfp"
19825680,"osativa","gfp"
19850038,"osativa","gfp"
19904499,"osativa","gfp"
20007444,"osativa","gfp"
20039179,"osativa","gfp"
20039193,"osativa","gfp"
20097911,"osativa","gfp"
20141629,"osativa","gfp"
20202129,"osativa","gfp"
20213122,"osativa","gfp"
20226077,"osativa","gfp"
20227044,"osativa","gfp"
20227662,"osativa","gfp"
20419467,"osativa","gfp"
20421194,"osativa","gfp"
20496122,"osativa","gfp"
20576316,"osativa","gfp"
20593223,"osativa","gfp"
20607362,"osativa","gfp"
20616165,"osativa","gfp"
20627947,"osativa","gfp"
20632034,"osativa","gfp"
20632185,"osativa","gfp"
20663087,"osativa","gfp"
20852032,"osativa","gfp"
21087465,"osativa","gfp"
21224427,"osativa","gfp"
21251105,"osativa","gfp"
21251107,"osativa","gfp"
21265890,"osativa","gfp"
21278127,"osativa","gfp"
21282525,"osativa","gfp"
21307283,"osativa","gfp"
21309870,"osativa","gfp"
21352234,"osativa","gfp"
21447055,"osativa","gfp"
21481190,"osativa","gfp"
21499841,"osativa","gfp"
21502185,"osativa","gfp"
21511810,"osativa","gfp"
21533550,"osativa","gfp"
21547461,"osativa","gfp"
21551159,"osativa","gfp"
21558459,"osativa","gfp"
21595879,"osativa","gfp"
21606318,"osativa","gfp"
21610181,"osativa","gfp"
21610725,"osativa","gfp"
21613379,"osativa","gfp"
21697258,"osativa","gfp"
21717056,"osativa","gfp"
21729241,"osativa","gfp"
21734114,"osativa","gfp"
21771914,"osativa","gfp"
21796433,"osativa","gfp"
21809091,"osativa","gfp"
21853042,"osativa","gfp"
21892614,"osativa","gfp"
21897044,"osativa","gfp"
21924254,"osativa","gfp"
21961694,"osativa","gfp"
21969384,"osativa","gfp"
21973088,"osativa","gfp"
21976713,"osativa","gfp"
22010949,"osativa","gfp"
