"pubmed","experiment","locus","locations"
10072395,"gfp","AT2G26670.1","plastid"
10189705,"gfp","AT2G29960.1","endoplasmic reticulum"
10198075,"gfp","AT4G37640.1","endoplasmic reticulum"
10205059,"gfp","AT2G46340.1","nucleus"
10205908,"gfp","AT1G68990.1","mitochondrion"
10205908,"gfp","AT2G24120.1","plastid"
10209027,"gfp","AT4G35950.1","plasma membrane"
10221900,"gfp","AT4G08920.1","nucleus"
10225946,"gfp","AT2G18790.1","cytosol:nucleus"
10348744,"gfp","AT2G02950.1","cytosol"
10350211,"gfp","AT2G48120.1","plastid"
10358052,"gfp","AT5G63310.1","nucleus"
10444599,"gfp","AT4G15090.1","nucleus"
10555304,"gfp","AT1G08540.1","plastid"
10555304,"gfp","AT1G64860.1","plastid"
10555304,"gfp","AT3G53920.1","plastid"
10583378,"gfp","AT1G14610.1","cytosol:mitochondrion"
10583378,"gfp","AT5G26830.1","cytosol:mitochondrion"
10631247,"gfp","AT2G29890.1","cytoskeleton"
10631247,"gfp","AT2G41740.1","cytoskeleton"
10631247,"gfp","AT3G57410.1","cytoskeleton"
10652124,"gfp","AT4G17090.1","plastid"
10652141,"gfp","AT5G17020.1","nucleus"
10734224,"gfp","AT1G16460.1","cytosol"
10734224,"gfp","AT1G79230.1","mitochondrion"
10737809,"gfp","AT1G04400.1","nucleus"
10737809,"gfp","AT1G05320.1","endoplasmic reticulum"
10737809,"gfp","AT1G11190.1","cytosol"
10737809,"gfp","AT1G12090.1","unclear"
10737809,"gfp","AT1G16240.1","nucleus"
10737809,"gfp","AT1G20440.1","cytosol:nucleus"
10737809,"gfp","AT1G20620.1","unclear"
10737809,"gfp","AT1G21720.1","unclear"
10737809,"gfp","AT1G21770.1","peroxisome"
10737809,"gfp","AT1G27950.1","peroxisome:unclear"
10737809,"gfp","AT1G31812.1","unclear"
10737809,"gfp","AT1G47530.1","peroxisome"
10737809,"gfp","AT1G54410.1","cytosol"
10737809,"gfp","AT1G56280.1","peroxisome"
10737809,"gfp","AT1G60140.1","peroxisome"
10737809,"gfp","AT1G67090.1","peroxisome"
10737809,"gfp","AT1G75750.1","peroxisome"
10737809,"gfp","AT1G76180.1","peroxisome"
10737809,"gfp","AT1G78300.1","cytosol:nucleus"
10737809,"gfp","AT2G05380.1","unclear"
10737809,"gfp","AT2G05510.1","nucleus"
10737809,"gfp","AT2G05520.1","peroxisome"
10737809,"gfp","AT2G06510.1","unclear"
10737809,"gfp","AT2G21170.1","cytosol"
10737809,"gfp","AT2G22430.1","peroxisome"
10737809,"gfp","AT2G25670.1","cytosol"
10737809,"gfp","AT2G27020.1","peroxisome"
10737809,"gfp","AT2G27080.1","unclear"
10737809,"gfp","AT2G33830.1","peroxisome"
10737809,"gfp","AT2G37035.1","unclear"
10737809,"gfp","AT2G38140.1","nucleus"
10737809,"gfp","AT2G38530.1","unclear"
10737809,"gfp","AT2G40360.1","peroxisome"
10737809,"gfp","AT2G41430.1","cytosol"
10737809,"gfp","AT2G42170.1","peroxisome"
10737809,"gfp","AT2G45960.1","plasma membrane"
10737809,"gfp","AT2G47320.1","peroxisome"
10737809,"gfp","AT3G02770.1","peroxisome"
10737809,"gfp","AT3G04120.1","cytosol"
10737809,"gfp","AT3G04820.1","peroxisome"
10737809,"gfp","AT3G05880.1","plasma membrane"
10737809,"gfp","AT3G05890.1","plasma membrane"
10737809,"gfp","AT3G06860.1","peroxisome"
10737809,"gfp","AT3G12050.1","peroxisome"
10737809,"gfp","AT3G15450.1","peroxisome"
10737809,"gfp","AT3G16240.1","vacuole"
10737809,"gfp","AT3G16460.1","peroxisome"
10737809,"gfp","AT3G19490.1","unclear"
10737809,"gfp","AT3G21720.1","peroxisome"
10737809,"gfp","AT3G26520.1","peroxisome"
10737809,"gfp","AT3G26820.1","peroxisome"
10737809,"gfp","AT3G48000.1","unclear"
10737809,"gfp","AT3G48930.1","nucleus"
10737809,"gfp","AT3G51600.1","nucleus"
10737809,"gfp","AT3G53420.1","nucleus:plasma membrane"
10737809,"gfp","AT3G56930.1","nucleus"
10737809,"gfp","AT4G01680.1","peroxisome"
10737809,"gfp","AT4G14960.1","plasma membrane"
10737809,"gfp","AT4G15610.1","unclear"
10737809,"gfp","AT4G15810.1","cytosol"
10737809,"gfp","AT4G16210.1","unclear"
10737809,"gfp","AT4G17340.1","vacuole"
10737809,"gfp","AT4G19150.1","nucleus"
10737809,"gfp","AT4G20890.1","nucleus"
10737809,"gfp","AT4G21590.1","cytosol"
10737809,"gfp","AT4G25890.1","cytosol"
10737809,"gfp","AT4G30550.1","peroxisome"
10737809,"gfp","AT4G35100.1","plasma membrane"
10737809,"gfp","AT4G35570.1","nucleus"
10737809,"gfp","AT4G37830.1","unclear"
10737809,"gfp","AT4G38495.1","unclear"
10737809,"gfp","AT4G38520.1","unclear"
10737809,"gfp","AT5G04090.1","nucleus"
10737809,"gfp","AT5G06760.1","peroxisome"
10737809,"gfp","AT5G10770.1","cytosol"
10737809,"gfp","AT5G10820.1","peroxisome"
10737809,"gfp","AT5G15230.1","peroxisome"
10737809,"gfp","AT5G20720.1","peroxisome"
10737809,"gfp","AT5G22060.1","peroxisome"
10737809,"gfp","AT5G26220.1","peroxisome"
10737809,"gfp","AT5G40730.1","peroxisome"
10737809,"gfp","AT5G42050.1","peroxisome"
10737809,"gfp","AT5G47450.1","peroxisome:vacuole"
10737809,"gfp","AT5G58787.1","unclear"
10737809,"gfp","AT5G65660.1","peroxisome"
10737809,"gfp","ATCG00120.1","nucleus"
10751170,"gfp","AT4G02060.1","nucleus"
10759500,"gfp","AT1G49530.1","mitochondrion"
10759500,"gfp","AT2G18640.1","endoplasmic reticulum"
10759500,"gfp","AT2G23800.1","endoplasmic reticulum"
10759500,"gfp","AT3G14550.1","plastid"
10759500,"gfp","AT4G36810.1","plastid"
10769244,"gfp","AT3G22780.1","nucleus"
10798620,"gfp","AT1G75840.1","nucleus"
10798620,"gfp","AT4G35020.1","plasma membrane"
10806224,"gfp","AT5G52470.1","nucleus"
10806350,"gfp","AT5G43780.1","plastid"
10817761,"gfp","AT5G48150.1","cytosol"
10824085,"gfp","AT2G31170.1","mitochondrion:plastid"
10824085,"gfp","AT4G17300.1","mitochondrion:plastid"
10829025,"gfp","AT4G25630.1","nucleus"
10829025,"gfp","AT5G52470.1","nucleus"
10899980,"gfp","AT5G49720.1","cytosol:plasma membrane"
10920210,"gfp","AT1G22770.1","nucleus"
10926537,"gfp","AT5G61380.1","nucleus"
10938344,"gfp","AT4G39400.1","plasma membrane"
10940466,"gfp","AT1G70330.1","plasma membrane"
10945256,"gfp","AT4G24470.1","nucleus"
10945350,"gfp","AT5G61380.1","nucleus"
10948212,"gfp","AT3G23990.1","mitochondrion"
10948247,"gfp","AT1G69120.1","nucleus"
10951223,"gfp","AT1G16460.1","nucleus"
10951223,"gfp","AT1G79230.1","mitochondrion"
10984613,"gfp","AT2G36990.1","plastid"
10998191,"gfp","AT5G57360.1","cytosol:nucleus"
11058164,"gfp","AT4G32551.1","nucleus"
11060042,"gfp","AT1G13270.1","plastid"
11060042,"gfp","AT1G15390.1","mitochondrion"
11060042,"gfp","AT2G44180.1","cytosol"
11060042,"gfp","AT2G45240.1","cytosol"
11060042,"gfp","AT3G25740.1","mitochondrion:plastid"
11060042,"gfp","AT3G59990.1","cytosol"
11060042,"gfp","AT4G37040.1","mitochondrion:plastid"
11060042,"gfp","AT5G14660.1","mitochondrion:plastid"
11089975,"gfp","AT1G04400.1","nucleus"
11089975,"gfp","AT2G18790.1","nucleus"
11090209,"gfp","AT1G02340.1","nucleus"
11090219,"gfp","AT1G02130.1","endoplasmic reticulum:golgi"
11106401,"gfp","AT1G54490.1","cytosol"
11106401,"gfp","AT1G75660.1","nucleus"
11106401,"gfp","AT5G42540.1","nucleus"
11115130,"gfp","AT1G16010.1","plasma membrane"
