Full Title,ISSN,Product ID,Change History
Academic Pediatrics,1876-2859,07802,Formerly known as Ambulatory Pediatrics
Academic Radiology,1076-6332,13351,
Accident Analysis & Prevention,0001-4575,00336,
Accounting Forum,0155-9982,04069,
"Accounting, Organizations and Society",0361-3682,00486,
Acta Astronautica,0094-5765,00310,
Acta Biomaterialia,1742-7061,04067,
Acta Colombiana de Cuidado Intensivo,0122-7262,16845,
Acta Ecologica Sinica,1872-2032,08574,
Acta Histochemica,0065-1281,10000,
Acta Materialia,1359-6454,00221,Formerly part of Acta Metallurgica et Materialia; Incorporating Nanostructured Materials
Acta Mathematica Scientia,0252-9602,05601,
Acta Oecologica,1146-609X,09000,
Acta Orthopaedica et Traumatologica Turcica,1017-995X,18361,
Acta Otorrinolaringologica (English Edition),2173-5735,15795,
Acta Otorrinolaringológica Española,0001-6519,15720,
Acta Pharmaceutica Sinica B,2211-3835,08775,
Acta Psychologica,0001-6918,05251,
Acta Tropica,0001-706X,05083,
Actas Dermo-Sifiliográficas,0001-7310,15717,
Actas Dermo-Sifiliográficas (English Edition),1578-2190,15768,
Actas Urológicas Españolas,0210-4806,15762,
Actas Urológicas Españolas (English Edition),2173-5786,15794,
Actualités Pharmaceutiques,0515-3700,09076,
Ad Hoc Networks,1570-8705,05481,
Addictive Behaviors,0306-4603,00471,
Addictive Behaviors Reports,2352-8532,18120,
Additive Manufacturing,2214-8604,17059,
Additives for Polymers,0306-3747,02061,
Advanced Drug Delivery Reviews,0169-409X,05000,
Advanced Engineering Informatics,1474-0346,02007,Formerly known as Artificial Intelligence in Engineering
Advanced Powder Technology,0921-8831,08668,
Advances in Accounting,0882-6110,05609,Incorporating Advances in International Accounting
Advances in Anesthesia,0737-6146,13139,
Advances in Applied Mathematics,0196-8858,12001,
Advances in Biological Regulation,2212-4926,00427,Formerly known as Advances in Enzyme Regulation
Advances in Chronic Kidney Disease,1548-5595,13265,Formerly known as Advances in Renal Replacement Therapy
Advances in Climate Change Research,1674-9278,18115,
Advances in Colloid and Interface Science,0001-8686,05136,
Advances in Engineering Software,0965-9978,02000,Formerly known as Advances in Engineering Software and Workstations; Incorporating Computing Systems in Engineering
Advances in Integrative Medicine,2212-9588,10154,
Advances in Life Course Research,1040-2608,05617,
Advances in Mathematics,0001-8708,12005,
Advances in Medical Sciences,1896-1126,11016,
Advances in Ophthalmology and Optometry,2452-1760,18867,
Advances in Pediatrics,0065-3101,13279,
Advances in Radiation Oncology,2452-1094,18873,
Advances in Small Animal Medicine and Surgery,1041-7826,13001,
Advances in Space Research,0273-1177,00644,
Advances in Surgery,0065-3411,13142,
Advances in Water Resources,0309-1708,02001,
Aeolian Research,1875-9637,08639,
Aerospace Science and Technology,1270-9638,09001,
AEU - International Journal of Electronics and Communications,1434-8411,10029,
African Journal of Emergency Medicine,2211-419X,08770,
African Journal of Urology,1110-5704,10114,
Ageing Research Reviews,1568-1637,05464,
Aggression and Violent Behavior,1359-1789,01001,
Agri Gene,2352-2151,18859,
Agricultural and Forest Meteorology,0168-1923,05320,Formerly known as Agricultural Meteorology
Agricultural Systems,0308-521X,02002,
Agricultural Water Management,0378-3774,05085,
"Agriculture, Ecosystems & Environment",0167-8809,05086,Incorporating Agriculture and Environment and Agro-Ecosystems
Agriculture and Natural Resources,2452-316X,18323,
Ain Shams Engineering Journal,2090-4479,08727,
Air Medical Journal,1067-991X,13163,Formerly known as Journal of Air Medical Transport
AKCE International Journal of Graphs and Combinatorics,0972-8600,18231,
Alcohol,0741-8329,07500,
Alexandria Engineering Journal,1110-0168,08731,
Alexandria Journal of Medicine,2090-5068,08760,
Algal Research,2211-9264,08794,
Allergologia et Immunopathologia,0301-0546,15754,
Allergology International,1323-8930,18067,
Alter,1875-0672,15851,
Alzheimer's & Dementia,1552-5260,13371,
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",2352-8729,18833,
Alzheimer's & Dementia: Translational Research & Clinical Interventions,2352-8737,18834,
American Heart Journal,0002-8703,13240,
The American Journal of Cardiology,0002-9149,07586,
The American Journal of Emergency Medicine,0735-6757,13226,
The American Journal of Geriatric Psychiatry,1064-7481,14116,
The American Journal of Human Genetics,0002-9297,07813,
American Journal of Infection Control,0196-6553,13170,
American Journal of Kidney Diseases,0272-6386,13229,
The American Journal of the Medical Sciences,0002-9629,18851,
The American Journal of Medicine,0002-9343,07587,
The American Journal of Medicine Supplements,1548-2766,07777,
American Journal of Obstetrics and Gynecology,0002-9378,13246,
American Journal of Ophthalmology,0002-9394,07582,
American Journal of Ophthalmology Case Reports,2451-9936,18854,
American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,13027,Formerly known as American Journal of Orthodontics
American Journal of Otolaryngology,0196-0709,13046,
The American Journal of Pathology,0002-9440,14039,
American Journal of Preventive Medicine,0749-3797,07689,
The American Journal of Surgery,0002-9610,07588,
Ampersand,2215-0390,10185,
Anaerobe,1075-9964,12695,
Anaesthesia Critical Care & Pain Medicine,2352-5568,09011,Formerly known as Annales Françaises d'Anesthésie et de Réanimation
Anaesthesia & Intensive Care Medicine,1472-0299,04263,
Anales de Cirugía Vascular,1130-2542,15704,
Anales de Pediatría,1695-4033,15711,
Anales de Pediatria Continuada,1696-2818,15755,
Anales de Pediatría (English Edition),2341-2879,16353,
Analytic Methods in Accident Research,2213-6657,10159,
Analytica Chimica Acta,0003-2670,05137,
Analytical Biochemistry,0003-2697,12002,
Anesthésie & Réanimation,2352-5800,16356,
Anesthesiology Clinics,1932-2275,13047,Formerly known as Anesthesiology Clinics of North America
Angiología,0003-3170,15767,
Animal Behaviour,0003-3472,12602,Formerly known as The British Journal of Animal Behaviour; Incorporating Animal Behaviour Monographs
Animal Feed Science and Technology,0377-8401,05088,
Animal Nutrition,2405-6545,18174,
Animal Reproduction Science,0378-4320,05089,
Annales de Cardiologie et d'Angéiologie,0003-3928,09082,
Annales de Chirurgie Plastique Esthétique,0294-1260,09084,
Annales de Dermatologie et de Vénéréologie,0151-9638,15170,
Annales d'Endocrinologie,0003-4266,15180,
