name,issn
AEM Education and Training,2472-5390
AIChE Journal,1547-5905
ANZ Journal of Surgery,1445-2197
AORN Journal,1878-0369
APMIS,1600-0463
ASHE Higher Education Report,1554-6306
Abacus,1467-6281
About Campus,1536-0687
Academic Emergency Medicine,1553-2712
Accounting & Finance,1467-629X
Accounting Forum,1467-6303
Accounting Perspectives,1911-3838
Acta Anaesthesiologica Scandinavica,1399-6576
Acta Archaeologica,1600-0390
Acta Biochimica et Biophysica Sinica,1745-7270
Acta Crystallographica,0365-110X
Acta Crystallographica Section A,2053-2733
Acta Crystallographica Section B,2052-5206
Acta Crystallographica Section C,2053-2296
Acta Crystallographica Section D,2059-7983
Acta Crystallographica Section E,1600-5368
Acta Crystallographica Section F,2053-230X
Acta Geologica Sinica (English Edition),1755-6724
Acta Medica Austriaca,1563-2571
Acta Neurologica Scandinavica,1600-0404
Acta Neuropsychiatrica,1601-5215
Acta Obstetricia et Gynecologica Scandinavica,1600-0412
Acta Ophthalmologica,1755-3768
Acta Paediatrica,1651-2227
Acta Pharmacologica Sinica,1745-7254
Acta Physiologica,1748-1716
Acta Polymerica,1521-4044
Acta Psychiatrica Scandinavica,1600-0447
Acta Radiologica,1600-0455
Acta Zoologica,1463-6395
Acute Medicine & Surgery,2052-8817
Addiction,1360-0443
Addiction Biology,1369-1600
Adultspan Journal,2161-0029
Advanced Biosystems,2366-7478
Advanced Electronic Materials,2199-160X
Advanced Energy Materials,1614-6840
Advanced Engineering Materials,1527-2648
Advanced Functional Materials,1616-3028
Advanced Healthcare Materials,2192-2659
Advanced Materials,1521-4095
Advanced Materials Interfaces,2196-7350
Advanced Materials Technologies,2365-709X
Advanced Optical Materials,2195-1071
Advanced Quantum Technologies,2511-9044
Advanced Science,2198-3844
Advanced Sustainable Systems,2366-7486
Advanced Synthesis & Catalysis,1615-4169
Advanced Theory and Simulations,2513-0390
Advanced Therapeutics,2366-3987
Advances in Cell and Gene Therapy,2573-8461
Advances in Polymer Technology,1098-2329
Africa Confidential,1467-6338
"Africa Research Bulletin: Economic, Financial and Technical Series",1467-6346
"Africa Research Bulletin: Political, Social and Cultural Series",1467-825X
African Development Review,1467-8268
African Journal of Ecology,1365-2028
Aggressive Behavior,1098-2337
Aging Cell,1474-9726
Aging Medicine,2475-0360
Agribusiness,1520-6297
Agricultural Economics,1574-0862
Agricultural and Forest Entomology,1461-9563
Alcoholism & Drug Abuse Weekly,1556-7591
Alcoholism: Clinical and Experimental Research,1530-0277
Alimentary Pharmacology & Therapeutics,1365-2036
Alimentary Pharmacology & Therapeutics Symposium Series,1746-6342
Allergology International,1440-1592
Allergy,1398-9995
Alternatives to the High Cost of Litigation,1549-4381
Ambulatory Child Health,1467-0658
American Anthropologist,1548-1433
American Business Law Journal,1744-1714
American Ethnologist,1548-1425
American Heart Hospital Journal,1751-7168
American Journal of Botany,1537-2197
American Journal of Community Psychology,1573-2770
American Journal of Economics and Sociology,1536-7150
American Journal of Hematology,1096-8652
American Journal of Human Biology,1520-6300
American Journal of Industrial Medicine,1097-0274
American Journal of Medical Genetics Part A,1552-4833
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics,1552-485X
American Journal of Medical Genetics Part C: Seminars in Medical Genetics,1552-4876
American Journal of Orthopsychiatry,1939-0025
American Journal of Physical Anthropology,1096-8644
American Journal of Political Science,1540-5907
American Journal of Primatology,1098-2345
American Journal of Reproductive Immunology,1600-0897
American Journal of Transplantation,1600-6143
Anaesthesia,1365-2044
Analyses of Social Issues and Public Policy,1530-2415
Analysis,1467-8284
Analytic Philosophy,2153-960X
"Anatomia, Histologia, Embryologia",1439-0264
Anatomical Science International,1447-073X
Anatomical Sciences Education,1935-9780
Andrologia,1439-0272
Andrology,2047-2927
Angewandte Chemie,1521-3757
Angewandte Chemie International Edition,1521-3773
Animal Conservation,1469-1795
Animal Genetics,1365-2052
Animal Models and Experimental Medicine,2576-2095
Animal Science Journal,1740-0929
Annalen der Physik,1521-3889
Annali di Chimica,1612-8877
Annals of Anthropological Practice,2153-9588
Annals of Applied Biology,1744-7348
Annals of Clinical and Translational Neurology,2328-9503
Annals of Gastroenterological Surgery,2475-0328
Annals of Human Genetics,1469-1809
Annals of Neurology,1531-8249
Annals of Noninvasive Electrocardiology,1542-474X
Annals of Periodontology,2162-5131
Annals of Public and Cooperative Economics,1467-8292
Annals of the Association of American Geographers,1467-8306
Annals of the New York Academy of Sciences,1749-6632
Annual Bulletin of Historical Literature,1467-8314
Annual Review of Information Science and Technology,1550-8382
Anthropology & Education Quarterly,1548-1492
Anthropology News,1556-3502
Anthropology Today,1467-8322
Anthropology and Humanism,1548-1409
Anthropology of Consciousness,1556-3537
Anthropology of Work Review,1548-1417
Antipode,1467-8330
Anxiety,1522-7154
Anzeiger für Schädlingskunde,1439-0280
Applications in Plant Sciences,2168-0450
Applied Cognitive Psychology,1099-0720
Applied Geographic Studies,1520-6319
Applied Numerical Analysis & Computational Mathematics,1611-8189
Applied Organometallic Chemistry,1099-0739
Applied Psychology,1464-0597
Applied Psychology: Health and Well-Being,1758-0854
Applied Stochastic Models in Business and Industry,1526-4025
Applied Vegetation Science,1654-109X
Aqua,1365-2087
Aquaculture Nutrition,1365-2095
Aquaculture Research,1365-2109
Aquatic Conservation: Marine and Freshwater Ecosystems,1099-0755
Arabian Archaeology and Epigraphy,1600-0471
Archaeological Prospection,1099-0763
Archaeology in Oceania,1834-4453
Archaeometry,1475-4754
Archeological Papers of the American Anthropological Association,1551-8248
Architectural Design,1554-2769
Archiv der Pharmazie,1521-4184
Archives of Drug Information,1753-5174
Archives of Insect Biochemistry and Physiology,1520-6327
Area,1475-4762
Aristotelian Society Supplementary Volume,1467-8349
Art History,1467-8365
Arthritis & Rheumatology,2326-5205
Arthritis Care & Research,2151-4658
Artificial Organs,1525-1594
Asia & the Pacific Policy Studies,2050-2680
Asia Pacific Family Medicine,1447-056X
Asia Pacific Journal of Clinical Nutrition,1440-6047
Asia Pacific Journal of Human Resources,1744-7941
Asia Pacific Viewpoint,1467-8373
Asia-Pacific Journal of Chemical Engineering,1932-2143
Asia-Pacific Journal of Clinical Oncology,1743-7563
Asia-Pacific Journal of Financial Studies,2041-6156
Asia-Pacific Psychiatry,1758-5872
Asian Economic Journal,1467-8381
Asian Economic Policy Review,1748-3131
Asian Journal of Andrology,1745-7262
Asian Journal of Control,1934-6093
Asian Journal of Endoscopic Surgery,1758-5910
Asian Journal of Organic Chemistry,2193-5815
Asian Journal of Social Psychology,1467-839X
Asian Politics & Policy,1943-0787
Asian Social Work and Policy Review,1753-1411
Asian Studies Review,1467-8403
Asian-Pacific Economic Literature,1467-8411
Assessment Update,1536-0725
Astronomische Nachrichten,1521-3994
Astronomy & Geophysics,1468-4004
Atmospheric Science Letters,1530-261X
Austral Ecology,1442-9993
Austral Entomology,2052-1758
Australasian Journal of Dermatology,1440-0960
Australasian Journal of Ultrasound in Medicine,2205-0140
Australasian Journal on Ageing,1741-6612
Australasian Psychiatry,1440-1665
Australian & New Zealand Journal of Statistics,1467-842X
Australian Accounting Review,1835-2561
Australian Dental Journal,1834-7819
Australian Economic History Review,1467-8446
Australian Economic Papers,1467-8454
Australian Economic Review,1467-8462
Australian Endodontic Journal,1747-4477
Australian Journal of Agricultural and Resource Economics,1467-8489
Australian Journal of Earth Sciences,1440-0952
Australian Journal of Grape and Wine Research,1755-0238
Australian Journal of Politics & History,1467-8497
Australian Journal of Psychology,1742-9536
Australian Journal of Public Administration,1467-8500
Australian Journal of Rural Health,1440-1584
Australian Journal of Social Issues,1839-4655
Australian Occupational Therapy Journal,1440-1630
Australian Psychologist,1742-9544
Australian Social Work,1447-0748
Australian Veterinary Journal,1751-0813
Australian and New Zealand Journal of Family Therapy,1467-8438
Australian and New Zealand Journal of Obstetrics and Gynaecology,1479-828X
Australian and New Zealand Journal of Psychiatry,1440-1614
Australian and New Zealand Journal of Public Health,1753-6405
Autism Research,1939-3806
Autonomic and Autacoid Pharmacology,1474-8673
BJOG: An International Journal of Obstetrics & Gynaecology,1471-0528
BJS,1365-2168
BJS Open,2474-9842
BJU International,1464-410X
Banks in Insurance Report,1530-9991
Basic & Clinical Pharmacology & Toxicology,1742-7843
Basic and Applied Pathology,1755-9294
Basin Research,1365-2117
Batteries & Supercaps,2566-6223
Bauphysik,1437-0980
"Bauregelliste A, Bauregelliste B und Liste C",1862-3093
Bautechnik,1437-0999
Behavioral Interventions,1099-078X
Behavioral Sciences & the Law,1099-0798
Bell Labs Technical Journal,1538-7305
Berichte der Bunsengesellschaft für physikalische Chemie,0005-9021
Berichte zur Wissenschaftsgeschichte,1522-2365
Beton- und Stahlbetonbau,1437-1006
BioEssays,1521-1878
BioFactors,1872-8081
Biochemistry and Molecular Biology Education,1539-3429
Bioelectromagnetics,1521-186X
Bioengineering & Translational Medicine,2380-6761
Bioethics,1467-8519
"Biofuels, Bioproducts and Biorefining",1932-1031
Bioimaging,1361-6374
Biological Reviews,1469-185X
Biologie in unserer Zeit,1521-415X
Biology of the Cell,1768-322X
Biomedical Chromatography,1099-0801
Biometrical Journal,1521-4036
Biometrics,1541-0420
Biopharmaceutics & Drug Disposition,1099-081X
Biopolymers,1097-0282
Biospectroscopy,1520-6343
Biotechnology Journal,1860-7314
Biotechnology Progress,1520-6033
Biotechnology and Applied Biochemistry,1470-8744
Biotechnology and Bioengineering,1097-0290
Biotropica,1744-7429
Bipolar Disorders,1399-5618
Birth,1523-536X
Birth Defects Research,2472-1727
Birth Defects Research Part A: Clinical and Molecular Teratology,1542-0760
Birth Defects Research Part B: Developmental and Reproductive Toxicology,1542-9741
Birth Defects Research Part C: Embryo Today: Reviews,1542-9768
Board & Administrator for Administrators Only,1949-3215
Board Leadership,1542-7862
Boreas,1502-3885
Botanical Journal of the Linnean Society,1095-8339
Brain Pathology,1750-3639
Brain and Behavior,2157-9032
Briefings in Real Estate Finance,1555-0990
British Educational Research Journal,1469-3518
British Journal of Clinical Pharmacology,1365-2125
British Journal of Clinical Psychology,2044-8260
British Journal of Dermatology,1365-2133
British Journal of Developmental Psychology,2044-835X
British Journal of Educational Psychology,2044-8279
British Journal of Educational Studies,1467-8527
British Journal of Educational Technology,1467-8535
British Journal of Haematology,1365-2141
British Journal of Health Psychology,2044-8287
British Journal of Industrial Relations,1467-8543
British Journal of Learning Disabilities,1468-3156
British Journal of Management,1467-8551
British Journal of Mathematical and Statistical Psychology,2044-8317
British Journal of Pharmacology,1476-5381
British Journal of Psychology,2044-8295
British Journal of Psychotherapy,1752-0118
British Journal of Social Psychology,2044-8309
British Journal of Special Education,1467-8578
Bruce R. Hopkins' Nonprofit Counsel,1542-8427
Bulletin des Sociétés Chimiques Belges,0037-9646
Bulletin of Economic Research,1467-8586
Bulletin of Latin American Research,1470-9856
Bulletin of the Association for Information Science and Technology,2373-9223
Bulletin of the Institute of Classical Studies,2041-5370
Bulletin of the Korean Chemical Society,1229-5949
Bulletin of the London Mathematical Society,1469-2120
Bulletin of the National Association of Student Anthropologists,1556-3626
Business Change and Re-engineering,1099-0828
Business Ethics: A European Review,1467-8608
Business Strategy & Development,2572-3170
Business Strategy and the Environment,1099-0836
Business and Society Review,1467-8594
CA: A Cancer Journal for Clinicians,1542-4863
CHEMKON,1521-3730
"CLEAN – Soil, Air, Water",1863-0669
CNS Drug Reviews,1527-3458
CNS Neuroscience & Therapeutics,1755-5949
CPT: Pharmacometrics & Systems Pharmacology,2163-8306
Campus Legal Advisor,1945-6239
Campus Security Report,1945-6247
Canadian Journal of Administrative Sciences / Revue Canadienne des Sciences de l'Administration,1936-4490
Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie,1744-7976
Canadian Journal of Economics/Revue canadienne d'économique,1540-5982
Canadian Journal of Statistics,1708-945X
Canadian Public Administration,1754-7121
Canadian Review of Sociology/Revue canadienne de sociologie,1755-618X
Cancer,1097-0142
Cancer Cytopathology,1934-6638
Cancer Medicine,2045-7634
Cancer Practice,1523-5394
Cancer Reports,2573-8348
Cancer Science,1349-7006
Cardiovascular Therapeutics,1755-5922
Catheterization and Cardiovascular Interventions,1522-726X
Cell Biochemistry and Function,1099-0844
Cell Biology International,1095-8355
Cell Biology International Reports,2041-5346
Cell Proliferation,1365-2184
Cellular Microbiology,1462-5822
Centaurus,1600-0498
Center for Migration Studies special issues,2050-411X
Central Issues in Anthropology,1937-6227
Cephalalgia,1468-2982
Cereal Chemistry,1943-3638
ChemBioChem,1439-7633
ChemBioEng Reviews,2196-9744
ChemCatChem,1867-3899
ChemElectroChem,2196-0216
ChemInform,1522-2667
ChemMedChem,1860-7187
ChemNanoMat,2199-692X
ChemPhotoChem,2367-0932
ChemPhysChem,1439-7641
ChemPlusChem,2192-6506
ChemSusChem,1864-564X
Chemical Biology & Drug Design,1747-0285
Chemical Engineering & Technology,1521-4125
Chemical Vapor Deposition,1521-3862
Chemie Ingenieur Technik,1522-2640
Chemie in unserer Zeit,1521-3781
Chemistry & Biodiversity,1612-1880
Chemistry & Industry,2047-6329
Chemistry - A European Journal,1521-3765
Chemistry – An Asian Journal,1861-471X
ChemistryOpen,2191-1363
ChemistrySelect,2365-6549
Child & Family Social Work,1365-2206
Child Abuse Review,1099-0852
Child Development,1467-8624
Child Development Perspectives,1750-8606
Child and Adolescent Mental Health,1475-3588
"Child: Care, Health and Development",1365-2214
Children & Society,1099-0860
China & World Economy,1749-124X
Chinese Journal of Chemistry,1614-7065
Chinese Journal of Geophysics,2326-0440
Chirality,1520-636X
City & Community,1540-6040
City & Society,1548-744X
Cladistics,1096-0031
Clinical & Experimental Allergy,1365-2222
Clinical & Experimental Allergy Reviews,1472-9733
Clinical & Experimental Immunology,1365-2249
Clinical & Experimental Ophthalmology,1442-9071
Clinical & Translational Immunology,2050-0068
Clinical Advances in Periodontics,2163-0097
Clinical Anatomy,1098-2353
Clinical Cardiology,1932-8737
Clinical Case Reports,2050-0904
Clinical Endocrinology,1365-2265
Clinical Genetics,1399-0004
Clinical Implant Dentistry and Related Research,1708-8208
Clinical Liver Disease,2046-2484
Clinical Microbiology and Infection,1469-0691
Clinical Obesity,1758-8111
Clinical Oral Implants Research,1600-0501
Clinical Otolaryngology,1749-4486
Clinical Pharmacology & Therapeutics,1532-6535
Clinical Pharmacology in Drug Development,2160-7648
Clinical Physiology and Functional Imaging,1475-097X
Clinical Psychologist,1742-9552
Clinical Psychology & Psychotherapy,1099-0879
Clinical Psychology: Science and Practice,1468-2850
Clinical Transplantation,1399-0012
Clinical and Experimental Dental Research,2057-4347
Clinical and Experimental Dermatology,1365-2230
Clinical and Experimental Neuroimmunology,1759-1961
Clinical and Experimental Optometry,1444-0938
Clinical and Experimental Pharmacology and Physiology,1440-1681
Clinical and Translational Science,1752-8062
Cochlear Implants International,1556-9152
Cognitive Science,1551-6709
College Athletics and the Law,1943-7579
Color Research & Application,1520-6378
Coloration Technology,1478-4408
Colorectal Disease,1463-1318
Communication Theory,1468-2885
"Communication, Culture & Critique",1753-9137
Communications on Pure and Applied Mathematics,1097-0312
Community Dentistry and Oral Epidemiology,1600-0528
Companion Animal,2044-3862
Comparative and Functional Genomics,1532-6268
Competitive Intelligence Review,1520-6386
