pmid,issn,name,year,doi
10072395,1040-4651,Plant Cell,1999,
10189705,0032-0781,Plant Cell Physiol.,1999,
10196182,0021-9258,J. Biol. Chem.,1999,
10196471,0378-1119,Gene,1999,
10198075,0032-0889,Plant Physiol.,1999,
10198096,0032-0889,Plant Physiol.,1999,
10198110,0032-0889,Plant Physiol.,1999,
10205059,0036-8075,Science,1999,
10205903,0960-7412,Plant J.,1999,
10205908,0960-7412,Plant J.,1999,
10207046,0021-9258,J. Biol. Chem.,1999,
10209027,0021-9525,J. Cell Biol.,1999,
10212254,0021-9258,J. Biol. Chem.,1999,
10220464,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,1999,
10221900,0036-8075,Science,1999,
10225946,0021-9525,J. Cell Biol.,1999,
10318708,0032-0889,Plant Physiol.,1999,
10325430,0305-1048,Nucleic Acids Res.,1999,
10330469,1040-4651,Plant Cell,1999,
10348744,0036-8075,Science,1999,
10350211,0171-9335,Eur. J. Cell Biol.,1999,10.1016/S0171-9335(99)80056-9
10358052,0021-9258,J. Biol. Chem.,1999,
10359080,0014-5793,FEBS Lett.,1999,
10363371,0960-7412,Plant J.,1999,
10363372,0960-7412,Plant J.,1999,
10373488,0021-9258,J. Biol. Chem.,1999,
10380805,0167-4412,Plant Mol. Biol.,1999,
10393905,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,1999,
10397763,1059-1524,Mol. Biol. Cell,1999,
10398681,0890-9369,Genes Dev.,1999,
10406802,0261-4189,EMBO J.,1999,10.1093/emboj/18.14.3973
10417704,0960-7412,Plant J.,1999,
10417725,0960-7412,Plant J.,1999,
10420643,0032-0935,Planta,1999,10.1007/s004250050582
10427773,0032-0781,Plant Cell Physiol.,1999,
10428841,0021-9258,J. Biol. Chem.,1999,
10444599,0890-9369,Genes Dev.,1999,
10449590,1040-4651,Plant Cell,1999,
10458608,0092-8674,Cell,1999,
10465788,0890-9369,Genes Dev.,1999,
10466729,0028-0836,Nature,1999,10.1038/23500
10471743,1362-4962,Nucleic Acids Res.,1999,
10476076,0960-7412,Plant J.,1999,
10480939,0021-9258,J. Biol. Chem.,1999,
10488108,0021-9258,J. Biol. Chem.,1999,
10517851,0032-0889,Plant Physiol.,1999,
10521526,1040-4651,Plant Cell,1999,
10524631,0028-0836,Nature,1999,10.1038/44176
10531384,0021-9258,J. Biol. Chem.,1999,
10535927,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,1999,
10536025,0027-8424,Proc. Natl. Acad. Sci. U.S.A.,1999,
10542152,0036-8075,Science,1999,
10555304,0032-0781,Plant Cell Physiol.,1999,
10557242,0032-0889,Plant Physiol.,1999,
10559440,1040-4651,Plant Cell,1999,
10561538,0006-3002,Biochim. Biophys. Acta,1999,
10570936,0014-5793,FEBS Lett.,1999,
10583378,0014-2956,Eur. J. Biochem.,1999,
10590166,1040-4651,Plant Cell,1999,
10593939,0021-9258,J. Biol. Chem.,1999,
10607296,0960-7412,Plant J.,1999,
10617574,0890-9369,Genes Dev.,1999,
10631247,0032-0889,Plant Physiol.,2000,
10636840,0021-9258,J. Biol. Chem.,2000,
10646606,0028-0836,Nature,2000,10.1038/35003214
10652124,0960-7412,Plant J.,1999,
10652141,0960-7412,Plant J.,1999,
10659709,0894-0282,Mol. Plant Microbe Interact.,2000,10.1094/MPMI.2000.13.2.191
10662863,1040-4651,Plant Cell,2000,
